h3_index,classification
82da6ffffffffff,ocean
82706ffffffffff,ocean
82912ffffffffff,ocean
82c6b7fffffffff,ocean
823e5ffffffffff,land
8290e7fffffffff,ocean
82ef17fffffffff,land
829c67fffffffff,land
822e87fffffffff,ocean
82e41ffffffffff,ocean
820e97fffffffff,land
82262ffffffffff,land
82dc17fffffffff,ocean
82eed7fffffffff,ocean
8289a7fffffffff,ocean
8289affffffffff,ocean
82ecb7fffffffff,ocean
821767fffffffff,land
829967fffffffff,ocean
8265affffffffff,coast
82ca4ffffffffff,ocean
822e8ffffffffff,coast
82c057fffffffff,ocean
82b64ffffffffff,ocean
82762ffffffffff,ocean
82bc17fffffffff,ocean
82a947fffffffff,land
82b80ffffffffff,land
824a9ffffffffff,ocean
8228a7fffffffff,land
823f77fffffffff,coast
8250e7fffffffff,ocean
823f2ffffffffff,coast
824e57fffffffff,ocean
823b17fffffffff,ocean
82c087fffffffff,ocean
822c87fffffffff,land
8248b7fffffffff,coast
826607fffffffff,coast
82c52ffffffffff,ocean
821adffffffffff,ocean
821537fffffffff,land
8232effffffffff,ocean
82859ffffffffff,ocean
828717fffffffff,ocean
820c9ffffffffff,ocean
82c187fffffffff,ocean
823117fffffffff,land
82a0c7fffffffff,ocean
828faffffffffff,ocean
822f57fffffffff,ocean
82a517fffffffff,ocean
826787fffffffff,ocean
82c18ffffffffff,ocean
820e9ffffffffff,land
823e17fffffffff,land
82c947fffffffff,ocean
82ec5ffffffffff,land
82d617fffffffff,ocean
820d67fffffffff,coast
820137fffffffff,coast
82d6f7fffffffff,ocean
828207fffffffff,ocean
82c427fffffffff,ocean
828077fffffffff,land
82174ffffffffff,coast
82a717fffffffff,land
82dc37fffffffff,ocean
82e9a7fffffffff,coast
82090ffffffffff,ocean
8298d7fffffffff,ocean
827ac7fffffffff,land
822677fffffffff,land
82d6effffffffff,ocean
82308ffffffffff,ocean
82534ffffffffff,coast
827837fffffffff,ocean
82688ffffffffff,coast
822d8ffffffffff,land
82439ffffffffff,coast
827f9ffffffffff,coast
82328ffffffffff,ocean
820f2ffffffffff,coast
8212f7fffffffff,land
829f47fffffffff,ocean
82ccaffffffffff,ocean
8235affffffffff,ocean
82dce7fffffffff,ocean
826827fffffffff,ocean
823c8ffffffffff,coast
820baffffffffff,land
82bef7fffffffff,land
82608ffffffffff,coast
8230b7fffffffff,land
820e17fffffffff,coast
82e367fffffffff,ocean
820017fffffffff,ocean
82bf37fffffffff,ocean
825ca7fffffffff,ocean
82f2affffffffff,land
82cf27fffffffff,ocean
82616ffffffffff,ocean
828937fffffffff,coast
822b87fffffffff,coast
82ac27fffffffff,ocean
829bb7fffffffff,ocean
824e5ffffffffff,ocean
8276d7fffffffff,coast
822c0ffffffffff,coast
8211b7fffffffff,land
82d7b7fffffffff,ocean
824b87fffffffff,coast
82e497fffffffff,ocean
82c50ffffffffff,ocean
823f37fffffffff,coast
825087fffffffff,ocean
829697fffffffff,land
82212ffffffffff,land
821e2ffffffffff,land
82e407fffffffff,ocean
82502ffffffffff,ocean
82e80ffffffffff,ocean
822797fffffffff,land
826f47fffffffff,ocean
82e61ffffffffff,ocean
82791ffffffffff,ocean
828e97fffffffff,ocean
82a837fffffffff,coast
82a05ffffffffff,ocean
82a357fffffffff,coast
820a17fffffffff,land
8245b7fffffffff,coast
820a4ffffffffff,coast
82c687fffffffff,ocean
82dcaffffffffff,ocean
829d0ffffffffff,coast
828ac7fffffffff,land
82480ffffffffff,coast
82e09ffffffffff,coast
82a287fffffffff,ocean
828b1ffffffffff,land
8200c7fffffffff,ocean
826ec7fffffffff,ocean
82bb17fffffffff,ocean
8256dffffffffff,ocean
82202ffffffffff,land
829757fffffffff,land
82a30ffffffffff,coast
82445ffffffffff,land
824e8ffffffffff,ocean
82a417fffffffff,ocean
827a07fffffffff,ocean
825acffffffffff,ocean
829e8ffffffffff,coast
82d88ffffffffff,ocean
823087fffffffff,coast
828857fffffffff,ocean
827faffffffffff,ocean
820b97fffffffff,land
82778ffffffffff,ocean
82492ffffffffff,ocean
82c70ffffffffff,ocean
82761ffffffffff,ocean
8244affffffffff,coast
828c77fffffffff,ocean
82b327fffffffff,land
823c67fffffffff,land
8294effffffffff,land
82aaaffffffffff,ocean
82df77fffffffff,ocean
821c97fffffffff,ocean
8274dffffffffff,ocean
82346ffffffffff,coast
82540ffffffffff,land
824717fffffffff,ocean
827f1ffffffffff,ocean
823b4ffffffffff,ocean
82b347fffffffff,land
821037fffffffff,land
82399ffffffffff,land
82ae1ffffffffff,ocean
82395ffffffffff,coast
828e87fffffffff,ocean
821957fffffffff,coast
82bfaffffffffff,ocean
82ae0ffffffffff,ocean
823c57fffffffff,land
82b00ffffffffff,ocean
82e0d7fffffffff,ocean
82b99ffffffffff,land
82690ffffffffff,ocean
82718ffffffffff,ocean
821137fffffffff,coast
820f9ffffffffff,coast
82cfb7fffffffff,coast
82eae7fffffffff,ocean
820b0ffffffffff,land
82c0effffffffff,ocean
82d797fffffffff,ocean
82c1b7fffffffff,ocean
82c2c7fffffffff,coast
82786ffffffffff,ocean
82efaffffffffff,coast
82dee7fffffffff,ocean
827767fffffffff,ocean
82edaffffffffff,ocean
82cad7fffffffff,ocean
82ae6ffffffffff,ocean
823a07fffffffff,ocean
823caffffffffff,land
820077fffffffff,ocean
82c29ffffffffff,ocean
82dfaffffffffff,ocean
825e87fffffffff,ocean
820a1ffffffffff,land
820d27fffffffff,ocean
82f14ffffffffff,land
822cb7fffffffff,land
824197fffffffff,land
820ecffffffffff,coast
8201b7fffffffff,coast
821e47fffffffff,land
829b1ffffffffff,ocean
82a137fffffffff,ocean
82d3b7fffffffff,ocean
82116ffffffffff,coast
8222c7fffffffff,coast
82a41ffffffffff,ocean
824277fffffffff,land
8258e7fffffffff,land
820707fffffffff,ocean
82078ffffffffff,land
82d1b7fffffffff,ocean
82b86ffffffffff,land
82aa87fffffffff,ocean
82452ffffffffff,coast
82cb37fffffffff,ocean
82db8ffffffffff,ocean
822d27fffffffff,coast
8236f7fffffffff,ocean
828d5ffffffffff,ocean
8220e7fffffffff,land
82ed1ffffffffff,ocean
8279affffffffff,ocean
823e6ffffffffff,coast
82ec1ffffffffff,land
826e5ffffffffff,ocean
8258dffffffffff,land
821b6ffffffffff,ocean
829887fffffffff,ocean
824a97fffffffff,coast
827eb7fffffffff,coast
828ca7fffffffff,coast
828437fffffffff,ocean
82642ffffffffff,coast
826d6ffffffffff,coast
82cb97fffffffff,ocean
827a37fffffffff,ocean
82f277fffffffff,coast
827da7fffffffff,ocean
82ef87fffffffff,land
82d0c7fffffffff,ocean
828d77fffffffff,ocean
827f37fffffffff,ocean
82c11ffffffffff,ocean
820c6ffffffffff,coast
82038ffffffffff,ocean
82bd57fffffffff,ocean
828d1ffffffffff,ocean
82e99ffffffffff,ocean
821887fffffffff,ocean
82b74ffffffffff,ocean
82c22ffffffffff,coast
827297fffffffff,coast
82ee6ffffffffff,coast
82a06ffffffffff,ocean
82576ffffffffff,ocean
820317fffffffff,ocean
820957fffffffff,ocean
82eba7fffffffff,ocean
82c3a7fffffffff,ocean
82c367fffffffff,land
82650ffffffffff,coast
826167fffffffff,ocean
822cd7fffffffff,land
82d067fffffffff,ocean
826e57fffffffff,ocean
824387fffffffff,land
828b77fffffffff,land
825c4ffffffffff,ocean
828baffffffffff,land
8254a7fffffffff,ocean
82d54ffffffffff,ocean
821ed7fffffffff,coast
825497fffffffff,coast
822f9ffffffffff,ocean
821607fffffffff,coast
82095ffffffffff,coast
82b837fffffffff,coast
820417fffffffff,coast
82096ffffffffff,ocean
825f2ffffffffff,land
827177fffffffff,ocean
82c9b7fffffffff,coast
821d47fffffffff,ocean
82a247fffffffff,coast
829ed7fffffffff,coast
825917fffffffff,land
82a90ffffffffff,land
823b5ffffffffff,ocean
827557fffffffff,ocean
82b707fffffffff,ocean
8296dffffffffff,land
825a27fffffffff,ocean
822097fffffffff,land
82e40ffffffffff,ocean
82bcc7fffffffff,land
823777fffffffff,ocean
82ceeffffffffff,ocean
8213affffffffff,land
82cc1ffffffffff,ocean
82a407fffffffff,ocean
82f0effffffffff,land
829cf7fffffffff,coast
82560ffffffffff,ocean
82aca7fffffffff,coast
82e097fffffffff,coast
8276effffffffff,ocean
82425ffffffffff,land
824ed7fffffffff,ocean
829b2ffffffffff,ocean
828257fffffffff,ocean
82351ffffffffff,coast
820107fffffffff,ocean
828187fffffffff,coast
82b20ffffffffff,land
821437fffffffff,land
82aa07fffffffff,ocean
824eaffffffffff,ocean
82e6dffffffffff,ocean
8260a7fffffffff,land
82d847fffffffff,ocean
82062ffffffffff,coast
82ae77fffffffff,ocean
822f1ffffffffff,ocean
829ab7fffffffff,ocean
82c8effffffffff,ocean
821aeffffffffff,ocean
8249b7fffffffff,coast
8218a7fffffffff,ocean
821987fffffffff,ocean
82a95ffffffffff,land
82ec67fffffffff,land
821917fffffffff,ocean
8242effffffffff,land
82c637fffffffff,ocean
824f67fffffffff,ocean
82e437fffffffff,ocean
827e9ffffffffff,ocean
82bdaffffffffff,ocean
827537fffffffff,land
826e17fffffffff,ocean
8266d7fffffffff,coast
82939ffffffffff,ocean
826807fffffffff,coast
82b40ffffffffff,ocean
824ac7fffffffff,ocean
82d91ffffffffff,ocean
82ebb7fffffffff,ocean
82a10ffffffffff,ocean
82bf17fffffffff,ocean
82712ffffffffff,ocean
824937fffffffff,ocean
